adj_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
reliable,465,51.63,451.7,0,0,1,4,6714,24007,8.749227422386975,6714,4,10.0,-6.0,3.000583964909783,1.6443581682102077
basic,465,51.27,603.61,0,0,0,1,11895,23840,11.773369809069543,11895,1,2.5,-1.5,2.003046278286991,1.3831415669040017
satisfied,465,50.98,373.94,0,0,1,7,6738,23706,7.334991929801606,6738,7,17.5,-10.5,3.689589581065902,1.7791353387563182
lucky,465,50.91,423.97,0,0,0,4,6439,23672,8.328291762158008,6439,4,10.0,-6.0,2.769192955557472,1.523501491404878
stable,465,49.86,416.24,0,0,1,6,8138,23183,8.348803780735539,8138,6,15.0,-9.0,3.5715928240719594,1.806553402329477
careful,465,49.28,484.92,0,0,0,1,8906,22913,9.841005231896398,8906,1,2.5,-1.5,2.116462342795683,1.3759841118170721
consistent,465,48.62,364.89,0,0,1,6,6337,22609,7.5047035735064815,6337,6,15.0,-9.0,3.815680005338858,1.9344390490997205
profitable,465,48.22,409.09,0,0,1,5,6064,22422,8.483870250088366,6064,5,12.5,-7.5,3.22434352306677,1.7644431022652147
beneficial,465,48.04,291.19,0,0,1,7,3882,22340,6.061014308384077,3882,7,17.5,-10.5,3.7958237471636433,1.8839676736060575
secure,465,47.98,471.35,0,0,1,4,9690,22309,9.824684119387426,9690,4,10.0,-6.0,3.0420910458440686,1.6675456670295024
smart,465,47.85,303.09,0,0,2,8,5245,22250,6.334338315755278,5245,8,20.0,-12.0,4.2470815665015875,2.0909790340055525
quick,465,47.83,279.05,0,0,1,7,4203,22242,5.833999625641285,4203,7,17.5,-10.5,3.7291815223844025,1.8224393418935134
painful,465,47.44,250.12,0,0,1,8,3214,22058,5.272684824346211,3214,8,20.0,-12.0,3.913745260016021,1.8919500630917527
rich,465,46.48,263.33,0,0,2,13,4681,21611,5.66611426120511,4681,13,32.5,-19.5,5.397116393541137,2.321382456264362
disappointed,465,46.31,300.14,0,0,1,9,5620,21534,6.481181773529134,5620,9,22.5,-13.5,3.86572764875311,1.79358698267712
unlikely,465,45.39,382.97,0,0,0,3,6673,21105,8.437902767593828,6673,3,7.5,-4.5,2.5728594709619577,1.5050091197726525
quiet,465,45.14,247.87,0,0,1,8,4168,20988,5.4917570078530975,4168,8,20.0,-12.0,4.248819420006572,1.9397939680521221
dark,465,44.66,240.35,0,0,3,12,3879,20767,5.3818450086219585,3879,12,30.0,-18.0,5.437900625720859,2.382330237365144
convenient,465,44.6,419.06,0,0,0,3,7763,20738,9.396460921987986,7763,3,7.5,-4.5,2.579265939309241,1.5415409801881848
own,465,44.27,935.42,0,0,0,0,20172,20585,21.130434105845012,20172,0,0.0,0.0,1.3124909543837897,1.147577866418551
enjoyable,465,43.69,353.17,0,0,1,6,6514,20314,8.084196582633496,6514,6,15.0,-9.0,3.3321020408651423,1.7537816097950487
dependent,465,43.26,191.38,0,0,1,7,2119,20118,4.423540989007028,2119,7,17.5,-10.5,4.064335730985885,1.9156156402687585
