      l1  l2                     f            E11  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc        am.Dice     am.t.score   am.p1.given2    am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff       f1     f2        N  
NEGATIVE  ferocious             36     14.2649378          29.388465            29.3884653        0.5350883893  0.00025216000     3.62251037   0.2217974339   0.00008911943         0.3673469388        0.00012612329         0.2217863493        7.6147152e-05      21.7350622   285435     98  1960936  
NEGATIVE  fitting               99     39.3013591          80.527583            80.5275827        0.5323021216  0.00069302252     5.99993916   0.2211365254   0.00024478001         0.3666666667        0.00034683904         0.2211060772        2.0914969e-04      59.6986409   285435    270  1960936  
NEGATIVE  constant              52     20.6696037          42.184909            42.1849087        0.5322033564  0.00036417499     4.34474424   0.2206525721   0.00012846280         0.3661971831        0.00018217808         0.2206365937        1.0976368e-04      31.3303963   285435    142  1960936  
NEGATIVE  humbling              97     38.5735562          78.628667            78.6286671        0.5311456094  0.00067903395     5.93230657   0.2205069456   0.00023956367         0.3660377358        0.00033983219         0.2204771464        2.0469264e-04      58.4264438   285435    265  1960936  
NEGATIVE  urgent               522    208.2972035         420.538728           420.5387281        0.5284797054  0.00363932986    13.73039840   0.2193793777   0.00128626334         0.3647798742        0.00182878764         0.2192192848        1.0990341e-03     313.7027965   285435   1431  1960936  
NEGATIVE  edifying              24      9.6069989          19.195086            19.1950860        0.5294396206  0.00016812551     2.93795905   0.2180831143   0.00005901506         0.3636363636        0.00008408219         0.2180757742        5.0424794e-05      14.3930011   285435     66  1960936  
NEGATIVE  distracting          165     66.0845076         131.853248           131.8532483        0.5259624717  0.00115429415     7.70056064   0.2179259886   0.00040557934         0.3634361233        0.00057806506         0.2178755339        3.4654297e-04      98.9154924   285435    454  1960936  
NEGATIVE  sacred               201     80.9316877         158.906340           158.9063400        0.5222861861  0.00140563864     8.46896577   0.2160114494   0.00049231142         0.3615107914        0.00070418834         0.2159502019        4.2065028e-04     120.0683123   285435    556  1960936  
NEGATIVE  emphatic              30     12.0815289          23.701159            23.7011594        0.5246148023  0.00021014437     3.27145027   0.2158943318   0.00007347041         0.3614457831        0.00010510274         0.2158851937        6.2776012e-05      17.9184711   285435     83  1960936  
NEGATIVE  pivotal               23      9.3158777          17.958262            17.9582622        0.5216809694  0.00016112140     2.85333674   0.2138213892   0.00005610847         0.3593750000        0.00008057877         0.2138144106        4.7941291e-05      13.6841223   285435     64  1960936  
NEGATIVE  timely               163     66.2300682         126.478491           126.4784913        0.5162011057  0.00114029872     7.57960603   0.2127305291   0.00039678198         0.3582417582        0.00057105821         0.2126811688        3.3902616e-04      96.7699318   285435    455  1960936  
NEGATIVE  glaring               74     30.4221632          56.031612            56.0316121        0.5089314255  0.00051812746     5.06582063   0.2085286216   0.00017868051         0.3540669856        0.00025925342         0.2085063962        1.5267167e-04      43.5778368   285435    209  1960936  
NEGATIVE  glamorous            188     77.8749153         140.144057           140.1440568        0.5031895671  0.00131482323     8.03169727   0.2058974545   0.00045154159         0.3514018692        0.00065864382         0.2058412797        3.8581493e-04     110.1250847   285435    535  1960936  
NEGATIVE  formidable            75     31.1499661          55.583642            55.5836423        0.5020876770  0.00052511999     5.06336577   0.2049290645   0.00017979658         0.3504672897        0.00026275684         0.2049067003        1.5362529e-04      43.8500339   285435    214  1960936  
NEGATIVE  maddening             43     17.9039525          31.698258            31.6982580        0.5013749050  0.00030116474     3.82711136   0.2040457053   0.00010290034         0.3495934959        0.00015064726         0.2040329065        8.7922110e-05      25.0960475   285435    123  1960936  
NEGATIVE  notable              187     78.1660365         136.750151           136.7501508        0.4971439710  0.00130782035     7.95872763   0.2027258393   0.00044624766         0.3482309125        0.00065514040         0.2026703230        3.8129158e-04     108.8339635   285435    537  1960936  
NEGATIVE  definite              65     27.2198302          47.337445            47.3374451        0.4968093322  0.00045514701     4.68605333   0.2020522617   0.00015490856         0.3475935829        0.00022772260         0.2020329935        1.3235998e-04      37.7801698   285435    187  1960936  
NEGATIVE  old                 2534   1063.7567876        1844.490711          1844.4907111        0.4962347688  0.01731211336    29.20692785   0.2019352763   0.00602838091         0.3467432950        0.00887767793         0.2011827056        5.1508862e-03    1470.2432124   285435   7308  1960936  
NEGATIVE  comparable           119     49.9272822          86.324802            86.3248020        0.4949114278  0.00083281428     6.33188566   0.2014134166   0.00028321617         0.3469387755        0.00041690753         0.2013781861        2.4199106e-04      69.0727178   285435    343  1960936  
NEGATIVE  beloved               44     18.4861949          31.819117            31.8191172        0.4953558080  0.00030816425     3.84635085   0.2009091154   0.00010461326         0.3464566929        0.00015415068         0.2008961035        8.9385693e-05      25.5138051   285435    127  1960936  
NEGATIVE  forthcoming           94     39.5924803          67.619044            67.6190438        0.4925273286  0.00065801678     5.61170717   0.2000553954   0.00022308503         0.3455882353        0.00032932191         0.2000276459        1.9061264e-04      54.4075197   285435    272  1960936  
NEGATIVE  relaxing             409    172.3437379         294.119519           294.1195186        0.4917307565  0.00285396293    11.70189904   0.1999993580   0.00097035244         0.3454391892        0.00143290066         0.1998785998        8.2910737e-04     236.6562621   285435   1184  1960936  
NEGATIVE  heartening            22      9.3158777          15.642920            15.6429202        0.4924530111  0.00015411613     2.70426396   0.1981958792   0.00005200821         0.3437500000        0.00007707534         0.1981894106        4.4437866e-05      12.6841223   285435     64  1960936  
NEGATIVE  heartwarming          51     21.6885278          35.930674            35.9306740        0.4870600352  0.00035716287     4.10442707   0.1967362386   0.00012018469         0.3422818792        0.00017867465         0.1967212898        1.0269053e-04      29.3114722   285435    149  1960936  
NEGATIVE  restful               16      6.8413477          11.138927            11.1389271        0.4878265350  0.00011209113     2.28966307   0.1948696131   0.00003755286         0.3404255319        0.00005605479         0.1948649425        3.2086648e-05       9.1586523   285435     47  1960936  
NEGATIVE  topical               52     22.2707702          36.074805            36.0748050        0.4823830419  0.00036416096     4.12270240   0.1943238535   0.00012189760         0.3398692810        0.00018217808         0.1943086916        1.0415412e-04      29.7292298   285435    153  1960936  
NEGATIVE  crucial              423    181.3684944         292.941195           292.9411951        0.4802573483  0.00295101524    11.74852584   0.1940490678   0.00099075224         0.3394863563        0.00148194860         0.1939257669        8.4653776e-04     241.6315056   285435   1246  1960936  
NEGATIVE  central              147     63.0277352         101.751565           101.7515648        0.4804538111  0.00102844670     6.92591567   0.1939741594   0.00034430820         0.3394919169        0.00051500342         0.1939313274        2.9419050e-04      83.9722648   285435    433  1960936  
NEGATIVE  careful              730    314.7019944         499.855872           499.8558724        0.4769032166  0.00507654809    15.37086880   0.1923017537   0.00170283022         0.3376503238        0.00255749996         0.1920897343        1.4549652e-03     415.2980056   285435   2162  1960936  
NEGATIVE  iconic               145     62.5910535          98.887942            98.8879418        0.4760405125  0.00101446487     6.84369051   0.1916907474   0.00033789819         0.3372093023        0.00050799657         0.1916487129        2.8871353e-04      82.4089465   285435    430  1960936  
NEGATIVE  inviting              46     19.9418008          31.068795            31.0687950        0.4747151011  0.00032216044     3.84207187   0.1902191235   0.00010684542         0.3357664234        0.00016115753         0.1902058339        9.1292936e-05      26.0581992   285435    137  1960936  
