adj_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely,nones,nothings,nobodies,nobody's,nobodys,non-exalts,nothingis,nys
magical,250,24,212,8,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nervous,247,216,1,1,4,6,1,9,2,5,0,1,1,0,0,0,0,0,0,0,0
competitive,245,153,14,12,11,19,6,10,7,10,2,1,0,0,0,0,0,0,0,0,0
sinister,243,9,211,7,4,8,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
profitable,242,127,38,19,17,6,6,0,2,24,2,1,0,0,0,0,0,0,0,0,0
prominent,241,103,9,97,7,2,7,1,6,7,0,1,1,0,0,0,0,0,0,0,0
substantial,241,9,197,14,2,13,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0
little,238,61,44,11,102,10,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
friendly,237,101,26,56,31,3,8,4,4,4,0,0,0,0,0,0,0,0,0,0,0
vulnerable,235,155,21,15,9,8,3,5,9,7,0,3,0,0,0,0,0,0,0,0,0
tired,234,193,11,3,3,6,5,9,1,3,0,0,0,0,0,0,0,0,0,0,0
stressful,233,18,205,4,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
responsible,233,37,20,44,64,5,11,41,5,4,1,0,1,0,0,0,0,0,0,0,0
positive,232,47,90,34,20,9,8,5,11,6,1,1,0,0,0,0,0,0,0,0,0
blind,231,18,4,200,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
consistent,231,80,44,30,32,2,11,22,5,4,0,1,0,0,0,0,0,0,0,0,0
optimistic,230,137,13,15,14,10,13,10,9,2,5,1,1,0,0,0,0,0,0,0,0
irritating,230,8,214,3,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0
willing,229,63,5,42,34,1,22,43,7,3,3,6,0,0,0,0,0,0,0,0,0
cheap,229,104,29,32,35,4,15,1,3,5,0,1,0,0,0,0,0,0,0,0,0
human,228,48,88,23,26,18,5,1,3,1,11,2,2,0,0,0,0,0,0,0,0
