prev_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely
necessity,2,2,0,0,0,0,0,0,0,0,0,0,0
questions,2,1,0,0,0,0,0,0,0,1,0,0,0
indian,2,0,0,0,0,2,0,0,0,0,0,0,0
readers,2,0,0,1,1,0,0,0,0,0,0,0,0
point,2,0,0,0,2,0,0,0,0,0,0,0,0
genre,2,0,0,0,1,0,0,0,0,1,0,0,0
name,2,1,0,0,1,0,0,0,0,0,0,0,0
game,2,0,1,0,1,0,0,0,0,0,0,0,0
narrative,2,1,0,0,1,0,0,0,0,0,0,0,0
needs,2,2,0,0,0,0,0,0,0,0,0,0,0
glass,2,0,1,0,1,0,0,0,0,0,0,0,0
respect,2,1,0,0,1,0,0,0,0,0,0,0,0
sam,2,0,1,0,1,0,0,0,0,0,0,0,0
purportedly,2,0,0,2,0,0,0,0,0,0,0,0,0
last,2,0,1,1,0,0,0,0,0,0,0,0,0
event,2,1,0,0,0,0,0,0,0,1,0,0,0
provinces,2,0,0,0,2,0,0,0,0,0,0,0,0
sacred,2,0,2,0,0,0,0,0,0,0,0,0,0
peace,2,2,0,0,0,0,0,0,0,0,0,0,0
preparation,2,0,1,0,1,0,0,0,0,0,0,0,0
examples,2,0,0,0,2,0,0,0,0,0,0,0,0
rout,2,2,0,0,0,0,0,0,0,0,0,0,0
king,2,0,0,0,2,0,0,0,0,0,0,0,0
kid,2,1,0,0,0,0,0,0,0,1,0,0,0
role,2,2,0,0,0,0,0,0,0,0,0,0,0
rockets,2,0,0,0,2,0,0,0,0,0,0,0,0
perfectly,2,0,0,1,1,0,0,0,0,0,0,0,0
good,2,0,1,1,0,0,0,0,0,0,0,0,0
natures,2,0,0,0,2,0,0,0,0,0,0,0,0
response,2,1,0,0,1,0,0,0,0,0,0,0,0
