ADV,ADJ,p1_counts
b'only',b'transient',2
b'too',b'happy',108
b'still',b'incumbent',1
b'hiv',b'positive',335
b'quite',b'large',100
b'very',b'unusual',363
b'totally',b'unfair',53
b'unbelievably',b'nasty',1
b'so',b'unpopular',70
b'very',b'intoxicated',4
b'so',b'wonderful',228
b'economically',b'feasible',44
b'very',b'young',373
b'very',b'issue-oriented',2
b'basically',b'invisible',3
b'hardly',b'stellar',8
b'strictly',b'nominal',3
b'especially',b'harmful',22
b'still',b'reluctant',120
b'very',b'possible',171
b'as',b'rosy',12
b'very',b'market-competitive',1
b'very',b'concerned',1264
b'also',b'prepared',96
b'completely',b'wacky',7
b'too',b'extreme',141
b'heavily',b'accented',5
b'thoroughly',b'american',4
b'pleasantly',b'sweet',3
b'very',b'much',701
b'too',b'few',102
b'so',b'glad',342
b'so',b'painstaking',4
b'so',b'dramatic',125
b'permanently',b'smug',1
b'predominantly',b'republican',3
b'increasingly',b'confident',68
b'equally',b'problematic',5
b'now',b'confident',40
b'surprisingly',b'robust',13
b'still',b'optimistic',171
b'first',b'visible',3
b'mainly',b'due',131
b'scared',b'alright',2
b'largely',b'coincidental',4
b'strategically',b'significant',4
b'relatively',b'easy',544
