key,f,dP1,P1,LRC,G2,MI,odds_r_disc,t,N,f1,f2,exp_f,unexp_f,l1,l2,adv,adv_total,adj,adj_total
NEGany~necessarily_indicative,1389,0.5001129,1.0,6.285266,1925.8861518,0.30103302,3.4440846,18.634775,6347364,3173660,1389,694.4951857,694.5048143,NEGATED,necessarily_indicative,necessarily,42886,indicative,2313
NEGany~necessarily_true,3232,0.49625102,0.99599385,6.161028,4330.7373675,0.29928964,2.3796515,28.311205,6347364,3173660,3245,1622.4887528,1609.5112472,NEGATED,necessarily_true,necessarily,42886,true,34967
NEGany~yet_sure,1977,0.49813974,0.99798083,6.133302,2689.2575467,0.3001552,2.6431801,22.186907,6347364,3173660,1981,990.4931338,986.5068662,NEGATED,yet_sure,yet,53881,sure,134139
NEGany~necessarily_better,1887,0.49803656,0.9978847,6.0656657,2564.8074587,0.30011338,2.6229382,21.673916,6347364,3173660,1891,945.4934458,941.5065542,NEGATED,necessarily_better,necessarily,42886,better,50827
NEGany~exactly_new,1371,0.49938256,0.99927115,6.0336814,1885.8633022,0.30071634,2.961298,18.500134,6347364,3173660,1372,685.9952446,685.0047554,NEGATED,exactly_new,exactly,44503,new,21538
NEGany~that_surprising,1133,0.50009274,1.0,5.9892855,1570.8894978,0.30103302,3.3556125,16.830149,6347364,3173660,1133,566.496073,566.503927,NEGATED,that_surprising,that,166676,surprising,18776
NEGany~that_unusual,977,0.50008047,1.0,5.773764,1354.5735432,0.30103302,3.2912865,15.628608,6347364,3173660,977,488.4966137,488.5033863,NEGATED,that_unusual,that,166676,unusual,7412
NEGany~terribly_surprising,949,0.50007826,1.0,5.7314267,1315.7484147,0.30103302,3.2786608,15.4030285,6347364,3173660,949,474.4967108,474.5032892,NEGATED,terribly_surprising,terribly,19802,surprising,18776
NEGany~necessarily_easy,909,0.5000751,1.0,5.6687055,1260.2843742,0.30103302,3.259963,15.074918,6347364,3173660,909,454.4968494,454.5031506,NEGATED,necessarily_easy,necessarily,42886,easy,108923
NEGany~exactly_easy,1066,0.49915016,0.9990628,5.667676,1463.4252984,0.3006258,2.8520215,16.309628,6347364,3173660,1067,533.4963018,532.5036982,NEGATED,exactly_easy,exactly,44503,easy,108923
NEGany~yet_certain,866,0.5000717,1.0,5.5980926,1200.6610931,0.30103302,3.238923,14.714041,6347364,3173660,866,432.9969984,433.0030016,NEGATED,yet_certain,yet,53881,certain,11334
NEGany~that_exciting,805,0.5000669,1.0,5.4915934,1116.0802292,0.30103302,3.2072117,14.186359,6347364,3173660,805,402.4972099,402.5027901,NEGATED,that_exciting,that,166676,exciting,20233
NEGany~that_uncommon,802,0.50006664,1.0,5.4861474,1111.9205448,0.30103302,3.2055907,14.159901,6347364,3173660,802,400.9972203,401.0027797,NEGATED,that_uncommon,that,166676,uncommon,3165
NEGany~yet_able,1315,0.4963188,0.9962121,5.435054,1764.4566152,0.29938483,2.3789134,18.062649,6347364,3173660,1320,659.9954249,655.0045751,NEGATED,yet_able,yet,53881,able,23355
NEGany~immediately_possible,1000,0.4980861,0.998004,5.402311,1360.3752996,0.3001653,2.6024196,15.779876,6347364,3173660,1002,500.9965271,499.0034729,NEGATED,immediately_possible,immediately,58040,possible,30446
NEGany~immediately_available,21078,0.48305994,0.981422,5.3381853,25870.1397234,0.2928888,1.7251683,71.217705,6347364,3173660,21477,10738.4255606,10339.5744394,NEGATED,immediately_available,immediately,58040,available,82956
NEGany~exactly_cheap,691,0.5000579,1.0,5.268664,958.0142179,0.30103302,3.1409228,13.143531,6347364,3173660,691,345.497605,345.502395,NEGATED,exactly_cheap,exactly,44503,cheap,6591
NEGany~that_impressed,681,0.5000571,1.0,5.24736,944.1489738,0.30103302,3.1345952,13.048079,6347364,3173660,681,340.4976397,340.5023603,NEGATED,that_impressed,that,166676,impressed,12138
NEGany~yet_final,640,0.5000539,1.0,5.1565714,887.3018022,0.30103302,3.1076427,12.649199,6347364,3173660,640,319.9977818,320.0022182,NEGATED,yet_final,yet,53881,final,1213
NEGany~necessarily_related,741,0.49871406,0.9986523,5.1371255,1013.5096085,0.30044731,2.694127,13.592384,6347364,3173660,742,370.9974282,370.0025718,NEGATED,necessarily_related,necessarily,42886,related,14260
NEGany~necessarily_new,482,0.5000414,1.0,4.740959,668.2371695,0.30103302,2.9845994,10.977325,6347364,3173660,482,240.9983294,241.0016706,NEGATED,necessarily_new,necessarily,42886,new,21538
NEGany~yet_public,467,0.50004023,1.0,4.694493,647.4403032,0.30103302,2.9708815,10.805166,6347364,3173660,467,233.4983814,233.5016186,NEGATED,yet_public,yet,53881,public,2656
NEGany~any_happier,828,0.492874,0.9928058,4.6646185,1085.1169422,0.29789728,2.1054976,14.283338,6347364,3173660,834,416.9971094,411.0028906,NEGATED,any_happier,any,16238,happier,2004
NEGany~particularly_new,747,0.493413,0.99335104,4.60868,982.4907317,0.29813576,2.133356,13.574276,6347364,3173660,752,375.9973936,371.0026064,NEGATED,particularly_new,particularly,76162,new,21538
NEGany~exactly_surprising,440,0.50003815,1.0,4.6068854,610.0061225,0.30103302,2.9450421,10.488161,6347364,3173660,440,219.998475,220.001525,NEGATED,exactly_surprising,exactly,44503,surprising,18776
NEGany~particularly_religious,485,0.497984,0.9979424,4.5154257,659.4123209,0.30013847,2.5101702,10.98873,6347364,3173660,486,242.9983155,242.0016845,NEGATED,particularly_religious,particularly,76162,religious,3507
NEGany~yet_dead,401,0.50003505,1.0,4.470143,555.9349338,0.30103302,2.9047763,10.012562,6347364,3173660,401,200.4986101,200.5013899,NEGATED,yet_dead,yet,53881,dead,6348
NEGany~any_easier,1594,0.4810497,0.98092306,4.424673,1946.2550661,0.29266796,1.7045339,19.574377,6347364,3173660,1625,812.4943677,781.5056323,NEGATED,any_easier,any,16238,easier,12877
NEGmir~particularly_new,404,0.4978816,0.9975309,4.3481183,547.7307739257812,0.2999608,2.4314365,10.025104,583470,291732,405,202.4979248046875,201.5020751953125,NEGMIR,particularly_new,particularly,10029,new,4300
NEGany~inherently_wrong,1639,0.47688758,0.97675806,4.251428,1956.1209847,0.29082,1.6183393,19.760761,6347364,3173660,1678,838.994184,800.005816,NEGATED,inherently_wrong,inherently,8614,wrong,21332
NEGany~necessarily_surprising,340,0.5000303,1.0,4.226318,471.3630101,0.30103302,2.8331997,9.219608,6347364,3173660,340,169.9988216,170.0011784,NEGATED,necessarily_surprising,necessarily,42886,surprising,18776
NEGmir~ever_easy,368,0.49760982,0.99728996,4.210235,497.9622802734375,0.29985592,2.3909018,9.565698,583470,291732,369,184.49810791015625,183.50189208984375,NEGMIR,ever_easy,ever,4786,easy,7749
NEGany~terribly_interested,486,0.48985806,0.9898167,3.975469,624.8946813,0.2965878,1.946792,10.909379,6347364,3173660,491,245.4982982,240.5017018,NEGATED,terribly_interested,terribly,19802,interested,34543
NEGany~necessarily_enough,279,0.50002545,1.0,3.9327607,386.7922591,0.30103302,2.747456,8.351705,6347364,3173660,279,139.499033,139.500967,NEGATED,necessarily_enough,necessarily,42886,enough,27603
NEGany~particularly_surprising,1069,0.47456133,0.97447586,3.9307394,1260.2556665,0.28980407,1.5744845,15.919706,6347364,3173660,1097,548.4961978,520.5038022,NEGATED,particularly_surprising,particularly,76162,surprising,18776
NEGany~terribly_different,366,0.49459735,0.9945652,3.925365,485.3333934,0.29866627,2.16619,9.513359,6347364,3173660,368,183.9987245,182.0012755,NEGATED,terribly_different,terribly,19802,different,80643
NEGmir~ever_good,299,0.49692732,0.99666667,3.9022915,402.6424865722656,0.2995844,2.3007584,8.6169815,583470,291732,300,149.9984588623047,149.0015411376953,NEGMIR,ever_good,ever,4786,good,13423
NEGany~immediately_obvious,2238,0.46275362,0.9625806,3.8841076,2481.5015964,0.28447014,1.4082495,22.734407,6347364,3173660,2325,1162.4919415,1075.5080585,NEGATED,immediately_obvious,immediately,58040,obvious,22651
NEGany~inherently_bad,794,0.4778971,0.9778325,3.8663337,953.0500308,0.29129747,1.6330343,13.769705,6347364,3173660,812,405.9971856,388.0028144,NEGATED,inherently_bad,inherently,8614,bad,119509
NEGany~exactly_subtle,263,0.5000242,1.0,3.8447444,364.6099611,0.30103302,2.7218525,8.108693,6347364,3173660,263,131.4990884,131.5009116,NEGATED,exactly_subtle,exactly,44503,subtle,5299
NEGany~exactly_fair,260,0.50002396,1.0,3.827627,360.4507892,0.30103302,2.7168794,8.062314,6347364,3173660,260,129.9990988,130.0009012,NEGATED,exactly_fair,exactly,44503,fair,6964
NEGany~any_younger,255,0.50002354,1.0,3.7986388,353.5188424,0.30103302,2.7084618,7.984415,6347364,3173660,255,127.4991162,127.5008838,NEGATED,any_younger,any,16238,younger,1784
NEGmir~inherently_wrong,1513,0.46433622,0.9630808,3.7779481,1685.0179443359375,0.2846972,1.4150074,18.703304,583470,291732,1571,785.491943359375,727.508056640625,NEGMIR,inherently_wrong,inherently,3342,wrong,8506
NEGmir~that_simple,474,0.48177043,0.98136646,3.672253,580.4391479492188,0.29286566,1.6992143,10.679193,583470,291732,483,241.4975128173828,232.5024871826172,NEGMIR,that_simple,that,4559,simple,7465
NEGany~immediately_able,626,0.47665066,0.97659904,3.6569674,746.3863852,0.2907493,1.606679,12.210324,6347364,3173660,641,320.4977783,305.5022217,NEGATED,immediately_able,immediately,58040,able,23355
NEGany~particularly_original,360,0.4890425,0.989011,3.6366026,460.5932931,0.29623413,1.9037474,9.38149,6347364,3173660,364,181.9987384,178.0012616,NEGATED,particularly_original,particularly,76162,original,4693
NEGany~any_worse,1686,0.4569975,0.9568672,3.6154697,1816.6000842,0.28188467,1.3435513,19.60516,6347364,3173660,1762,880.9938929,805.0061071,NEGATED,any_worse,any,16238,worse,12116
NEGany~exactly_fun,224,0.5000211,1.0,3.604627,310.5409478,0.30103302,2.652283,7.4833665,6347364,3173660,224,111.9992236,112.0007764,NEGATED,exactly_fun,exactly,44503,fun,19661
NEGmir~ever_perfect,206,0.50018173,1.0,3.5954583,285.65362548828125,0.30103445,2.6162658,7.176424,583470,291732,206,102.99893951416016,103.00106048583984,NEGMIR,ever_perfect,ever,4786,perfect,1303
NEGmir~ever_simple,206,0.50018173,1.0,3.5954583,285.65362548828125,0.30103445,2.6162658,7.176424,583470,291732,206,102.99893951416016,103.00106048583984,NEGMIR,ever_simple,ever,4786,simple,7465
NEGany~any_better,4719,0.4433986,0.94304556,3.5862854,4753.3905132,0.27556568,1.2189032,32.273354,6347364,3173660,5004,2501.9826561,2217.0173439,NEGATED,any_better,any,16238,better,50827
NEGany~particularly_wrong,218,0.5000206,1.0,3.5638669,302.2226807,0.30103302,2.6405172,7.3824625,6347364,3173660,218,108.9992444,109.0007556,NEGATED,particularly_wrong,particularly,76162,wrong,21332
NEGany~remotely_true,250,0.496039,0.99601597,3.5314837,334.9261888,0.2992993,2.2227566,7.8741264,6347364,3173660,251,125.49913,124.50087,NEGATED,remotely_true,remotely,6161,true,34967
NEGany~ever_easy,429,0.48172998,0.9816934,3.5277035,525.9838871,0.29300886,1.7036079,10.163109,6347364,3173660,437,218.4984854,210.5015146,NEGATED,ever_easy,ever,10870,easy,108923
COM~ever_closer,279,0.49292487,0.99288255,3.5206292,365.8169375,0.29794568,2.0485153,8.292123,6347364,3173552,281,140.4942449,138.5057551,COMPLEMENT,ever_closer,ever,10870,closer,3686
NEGany~necessarily_aware,206,0.50001967,1.0,3.4787245,285.5861803,0.30103302,2.6159842,7.1763997,6347364,3173660,206,102.999286,103.000714,NEGATED,necessarily_aware,necessarily,42886,aware,28973
NEGany~exactly_hard,203,0.50001943,1.0,3.456631,281.4270623,0.30103302,2.6096282,7.123953,6347364,3173660,203,101.4992964,101.5007036,NEGATED,exactly_hard,exactly,44503,hard,45061
