bigram_lower,SUM,pos-mirror-R,pos-mirror-L
not_qualified,234,227,7
so_low,234,219,15
very_respectful,234,233,1
so_real,233,159,74
very_responsive,233,232,1
as_fundamental,233,9,224
more_famous,233,161,72
more_cost-effective,232,227,5
too_warm,232,231,1
not_confident,232,231,1
really_busy,232,230,2
very_stupid,231,168,63
too_frequent,231,231,0
more_modest,231,89,142
very_uncomfortable,231,210,21
simply_wrong,231,229,2
n't_bad,231,231,0
more_damaging,231,181,50
clearly_visible,230,225,5
very_bright,230,213,17
very_thin,230,221,9
pretty_obvious,230,219,11
more_nefarious,230,32,198
more_talented,229,195,34
very_conscious,229,216,13
widely_available,229,216,13
really_small,229,136,93
more_noticeable,228,215,13
critically_important,228,180,48
rather_special,228,11,217
quite_nice,228,186,42
still_relevant,227,223,4
quite_rare,227,144,83
slightly_more,227,208,19
not_ok,227,220,7
pretty_hard,227,219,8
more_extraordinary,227,156,71
not_accurate,227,226,1
as_interesting,226,210,16
quite_old,226,211,15
equally_good,226,203,23
too_vague,226,221,5
painfully_aware,225,220,5
more_problematic,225,191,34
only_interested,225,205,20
as_unique,224,81,143
not_okay,224,223,1
very_negative,224,187,37
longer_able,224,224,0
critically_endangered,224,224,0
more_incredible,224,168,56
more_obscure,224,138,86
quite_hard,223,216,7
just_bad,223,222,1
too_wide,223,223,0
more_constructive,223,27,196
more_cautious,222,215,7
slightly_lower,222,220,2
absolutely_necessary,222,199,23
even_stronger,221,157,64
completely_unaware,221,214,7
so_poor,221,210,11
more_prominent,221,201,20
very_dramatic,221,154,67
so_generous,220,207,13
highly_critical,220,212,8
very_entertaining,220,204,16
quite_familiar,220,181,39
not_helpful,220,219,1
so_cold,220,199,21
very_fast,220,211,9
not_applicable,219,219,0
very_fond,218,211,7
even_less,218,217,1
as_normal,218,169,49
too_bad,218,211,7
very_fresh,218,175,43
so_pleased,218,216,2
as_lucky,218,217,1
more_daring,217,85,132
very_precious,217,36,181
very_thankful,217,213,4
even_dead,217,217,0
very_enjoyable,217,189,28
even_great,216,211,5
as_successful,216,153,63
very_fun,216,176,40
more_human,216,104,112
longer_relevant,216,215,1
less_serious,215,90,125
quite_extraordinary,215,43,172
way_better,214,165,49
very_natural,214,138,76
quite_remarkable,214,64,150
only_able,213,209,4
as_crazy,213,95,118
truly_great,213,38,175
just_amazing,213,204,9
long_overdue,213,143,70
too_excited,212,209,3
just_hard,212,212,0
so_smart,212,158,54
highly_sensitive,212,206,6
more_comprehensive,212,80,132
even_fourth,212,212,0
not_subject,211,203,8
more_generous,211,198,13
not_afraid,211,169,42
already_underway,211,200,11
extremely_dangerous,211,194,17
so_huge,211,98,113
more_worried,211,209,2
less_tangible,210,28,182
more_bizarre,210,139,71
too_risky,210,204,6
fairly_simple,210,158,52
already_present,210,195,15
really_tough,210,183,27
super_cool,209,142,67
so_interested,209,184,25
very_conservative,209,204,5
more_colorful,209,113,96
still_possible,209,206,3
too_nice,209,196,13
more_similar,208,123,85
as_straightforward,208,90,118
incredibly_stupid,208,98,110
just_weird,208,205,3
lightly_golden,208,208,0
sexually_active,208,203,5
very_intense,207,186,21
so_valuable,207,70,137
most_welcome,207,202,5
most_successful,207,203,4
more_emotional,207,151,56
most_comfortable,206,202,4
so_negative,206,133,73
pretty_clear,206,199,7
rather_cheap,206,204,2
more_prevalent,206,194,12
most_fun,206,206,0
even_closer,205,169,36
too_powerful,205,189,16
quite_close,205,166,39
very_vocal,205,205,0
very_eager,205,203,2
so_fortunate,205,202,3
very_weird,204,114,90
very_cautious,204,202,2
very_weak,204,202,2
very_warm,204,167,37
as_subtle,204,107,97
much_happier,204,197,7
more_wonderful,204,115,89
not_much,203,200,3
absolutely_perfect,203,187,16
as_personal,203,24,179
really_pleased,203,201,2
extremely_good,203,182,21
not_great,203,196,7
as_safe,202,185,17
brutally_honest,202,195,7
so_warm,201,173,28
otherwise_subject,201,201,0
very_aggressive,201,190,11
really_wonderful,201,58,143
very_relevant,201,158,43
even_cheaper,201,187,14
far_less,200,141,59
more_substantive,200,26,174
absolutely_amazing,200,147,53
pretty_straightforward,200,190,10
too_fat,200,199,1
n't_fair,199,199,0
altogether_new,199,8,191
drastically_different,199,90,109
too_personal,199,181,18
too_smart,199,192,7
as_special,199,34,165
more_unsettling,198,143,55
even_global,198,198,0
long_enough,198,179,19
very_healthy,198,179,19
really_smart,198,127,71
even_available,198,197,1
more_sweet,197,178,19
much_faster,197,178,19
extremely_friendly,197,196,1
always_better,197,194,3
probably_familiar,197,196,1
more_sustainable,197,78,119
truly_new,197,12,185
incredibly_difficult,197,182,15
as_wonderful,196,56,140
very_patient,196,191,5
pretty_big,196,112,84
otherwise_unavailable,196,193,3
physically_active,196,179,17
more_harmful,195,176,19
very_particular,195,113,82
too_reminiscent,195,195,0
more_magical,195,111,84
truly_beautiful,195,53,142
