adv_form_lower,SUM,or,something,all,some,often,always,sometimes,both,many,everything,everyone,someone,everybody,either,somebody,every,somethings,somethin,everythings,everyones,alls,someones,everybodys,somebodies,somes,oftens,everbody,someon,someing,ors,oftenleft,manies,everythiing,eather
often,1565,390,135,457,81,82,18,68,72,192,8,2,32,4,5,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
directly,1555,345,113,271,185,179,76,44,47,172,39,10,46,1,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
morally,1541,752,273,84,34,54,109,51,94,21,26,15,17,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprisingly,1532,96,176,128,281,370,62,181,76,114,23,14,4,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
about,1510,170,32,783,25,40,291,47,36,7,52,15,5,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mostly,1400,767,39,242,65,26,46,12,43,63,47,22,13,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
emotionally,1363,651,112,63,46,151,80,64,80,26,6,19,50,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
socially,1355,773,131,52,37,94,76,32,69,43,10,8,25,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purely,1347,554,183,142,196,49,29,63,18,44,55,5,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sometimes,1332,1008,29,35,30,35,17,137,12,16,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
generally,1320,697,60,184,53,17,30,5,54,36,109,41,25,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sexually,1314,755,49,56,95,80,69,39,47,66,3,14,32,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obviously,1281,217,404,137,217,18,18,25,59,52,23,32,61,11,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
profoundly,1266,109,731,102,36,65,61,28,60,38,4,15,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wholly,1189,324,559,51,44,44,25,22,34,29,12,9,23,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
somehow,1181,740,62,150,14,7,60,2,12,12,66,24,24,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wildly,1179,208,200,148,103,188,56,76,104,42,22,9,10,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
painfully,1165,129,87,233,81,185,89,194,49,41,21,34,9,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barely,1152,349,74,42,215,160,20,140,13,110,6,2,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
half,1148,573,41,34,38,37,297,24,27,27,13,11,14,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reasonably,1140,528,159,135,57,28,43,8,58,22,31,40,24,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
outright,1137,712,19,3,165,47,1,114,2,20,4,1,2,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
currently,1136,318,41,343,100,4,2,0,99,136,41,25,20,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vaguely,1112,185,641,50,53,18,70,11,13,18,12,15,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indeed,1110,443,99,89,221,5,2,44,25,111,53,11,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exceptionally,1099,284,133,168,86,58,103,25,119,33,23,31,19,4,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
damn,1094,214,112,261,122,21,75,61,52,18,71,55,13,10,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniquely,1077,85,695,136,13,20,30,2,28,15,11,11,22,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
around,1065,14,3,1014,2,1,9,0,1,0,2,1,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
technically,1063,284,105,146,52,68,72,19,168,36,62,12,30,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wonderfully,1038,58,450,186,55,50,63,29,70,12,39,20,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remarkably,1035,83,233,162,121,138,71,39,80,55,22,11,9,4,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
visually,1032,172,277,104,33,90,77,21,222,10,19,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
both,1000,154,48,139,104,152,129,53,20,88,42,45,14,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
immediately,999,196,150,180,104,50,90,23,62,25,63,31,15,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
long,986,351,190,92,80,34,6,19,72,70,7,19,39,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radically,967,67,677,35,19,67,17,25,23,6,17,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
financially,961,462,31,56,35,102,51,20,73,56,4,23,32,4,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
largely,959,242,54,169,78,91,32,10,91,147,18,3,16,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
partially,948,668,11,48,58,38,27,21,34,24,2,7,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hugely,946,97,156,218,44,59,114,22,143,40,7,23,15,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
else,934,245,258,265,2,0,1,0,0,0,71,17,60,6,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
certainly,931,149,106,243,209,7,7,10,76,50,16,19,20,9,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mildly,928,385,234,53,86,24,49,39,18,12,4,5,12,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ridiculously,926,187,169,129,95,64,63,49,75,21,45,16,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naturally,909,252,78,158,135,28,61,11,52,40,10,41,27,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
horribly,899,139,503,91,31,26,11,32,22,11,23,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
closely,881,287,101,173,54,87,44,12,50,41,11,2,16,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
