prev_form_lower,SUM,not,never,nothing,none,nor,without,no,few,neither,nobody,hardly,rarely,ain't,barely,seldom,scarcely,aint
super,43,37,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0
man,42,20,14,3,0,2,0,0,0,0,0,0,3,0,0,0,0,0
work,42,29,1,0,2,7,1,0,0,0,0,0,2,0,0,0,0,0
themselves,42,35,0,0,1,2,0,0,2,0,0,0,2,0,0,0,0,0
therefore,40,36,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
me,40,29,0,4,3,0,1,0,0,1,0,0,0,2,0,0,0,0
did,40,23,6,0,4,0,0,0,2,2,1,2,0,0,0,0,0,0
sufficiently,40,36,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
sometimes,40,37,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
things,40,31,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
certainly,38,30,0,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0
_,38,21,5,4,3,1,0,2,2,0,0,0,0,0,0,0,0,0
immediately,37,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clearly,37,31,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0
personally,37,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
substantially,37,34,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
well,37,31,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
absolutely,37,35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
before,36,2,31,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
right,36,30,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
surprisingly,36,34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
some,35,28,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
automatically,35,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
intrinsically,34,27,0,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0
two,34,24,2,0,0,2,0,4,1,1,0,0,0,0,0,0,0,0
up,34,31,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
process,34,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
vastly,33,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
definitely,33,25,0,2,1,0,1,2,1,0,0,0,0,0,1,0,0,0
noticeably,33,30,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
extremely,33,28,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
fewer,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
'',32,25,2,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0
consistently,32,30,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
im,31,24,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0
does,31,12,2,5,4,1,0,1,1,0,1,0,2,0,0,2,0,0
story,31,27,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
politically,30,26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indeed,30,21,1,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0
out,29,24,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
enough,29,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infinitely,29,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
long,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
something,28,24,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
practically,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
;,27,7,1,13,3,0,1,2,0,0,0,0,0,0,0,0,0,0
overly,26,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dramatically,26,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
information,26,23,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
essentially,25,22,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
becomes,25,4,15,1,1,0,0,1,0,2,0,0,0,0,0,1,0,0
game,25,22,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
whit,25,22,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
book,25,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anyone,25,9,2,1,0,8,0,0,0,1,0,0,3,0,0,1,0,0
men,25,17,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
suddenly,24,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
i'm,24,16,1,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0
prices,24,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
previously,24,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
once,24,16,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
design,24,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
possibly,24,20,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
[,24,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country,23,15,1,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0
anything,23,14,0,1,1,2,3,0,0,0,0,0,2,0,0,0,0,0
approach,23,20,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
kids,23,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
somewhat,23,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
seriously,23,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nt,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,22,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
staff,22,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
government,22,15,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0
had,22,8,7,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0
seemingly,22,15,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0
every,22,7,1,8,2,0,0,0,0,0,3,1,0,0,0,0,0,0
first,22,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
team,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
children,22,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
single,21,17,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
from,21,17,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
guys,21,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
thou,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strictly,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anymore,21,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
until,21,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
arguably,21,8,0,3,9,0,0,0,1,0,0,0,0,0,0,0,0,0
oh,21,18,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
