        l1  l2                       f         E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff        f1       f2         N  
   NEGATED  sex                    154       51.90               873                 1702                806    3226        332           55         1361                3949                3226                  55                 449           1361             138.90                138.90               0.509   0.0001        8.23         0.074       0.00003                0.112              0.00005                0.074              0.00003          102.10   3148010     1373  83280549  
   NEGATED  gaudy                  154       52.09               878                 1711                811    3227        334           56         1362                3950                3226                  56                 450           1362             138.10                138.10               0.507   0.0001        8.21         0.074       0.00003                0.112              0.00005                0.074              0.00003          101.91   3148010     1378  83280549  
   NEGATED  choosy                 180       61.31               801                 1571                820    2938        304           57         1225                3951                2937                  57                 400           1225             159.61                159.61               0.503   0.0001        8.85         0.073       0.00004                0.111              0.00006                0.073              0.00004          118.69   3148010     1622  83280549  
   NEGATED  hoppy                  205       69.85               734                 1443                824    2694        279           58         1116                3952                2695                  58                 375           1116             181.66                181.66               0.503   0.0001        9.44         0.073       0.00004                0.111              0.00007                0.073              0.00004          135.15   3148010     1848  83280549  
   NEGATED  worried              13064     4465.21                23                   45                829      75         16           59           34                3954                  79                  60                  22             34           11544.03              11544.03               0.502   0.0080       75.23         0.073       0.00284                0.111              0.00415                0.073              0.00273         8598.79   3148010   118127  83280549  
   NEGATED  past                   466      159.21               399                  796                831    1610        180           60          645                3953                1610                  59                 227            645             411.20                411.20               0.501   0.0003       14.21         0.073       0.00010                0.111              0.00015                0.073              0.00010          306.79   3148010     4212  83280549  
   NEGATED  spicy                 1408      482.74               190                  379                837     719         96           61          284                3955                 719                  61                 124            284            1235.61               1235.61               0.499   0.0009       24.66         0.072       0.00031                0.110              0.00045                0.072              0.00029          925.26   3148010    12771  83280549  
   NEGATED  surprising           16431     5667.29                20                   39                842      56         11           62           24                3956                  53                  62                  16             24           14315.06              14315.06               0.498   0.0100       83.97         0.072       0.00355                0.110              0.00522                0.072              0.00342        10763.71   3148010   149928  83280549  
   NEGATED  sharp                 4433     1547.35                79                  157                862     258         48           63          107                3957                 258                  63                  54            107            3780.00               3780.00               0.491   0.0028       43.34         0.071       0.00095                0.108              0.00141                0.070              0.00092         2885.65   3148010    40935  83280549  
   NEGATED  final                 1022      361.22               238                  475                879     917        110           64          373                3958                 921                  64                 145            373             853.08                853.08               0.484   0.0006       20.67         0.069       0.00022                0.107              0.00032                0.069              0.00021          660.78   3148010     9556  83280549  
   NEGATED  over                   479      169.80               412                  821                885    1580        182           65          638                3959                1582                  65                 223            638             397.83                397.83               0.483   0.0003       14.13         0.069       0.00010                0.107              0.00015                0.069              0.00010          309.20   3148010     4492  83280549  
   NEGATED  obtrusive              177       62.79               851                 1661                883    2975        316           66         1261                3960                2976                  66                 412           1261             146.83                146.83               0.483   0.0001        8.58         0.069       0.00004                0.107              0.00006                0.069              0.00004          114.21   3148010     1661  83280549  
   NEGATED  observable             252       90.42               678                 1335                899    2386        265           67          994                3961                2386                  67                 332            994             205.06                205.06               0.478   0.0002       10.18         0.068       0.00005                0.105              0.00008                0.068              0.00005          161.58   3148010     2392  83280549  
   NEGATED  convinced             1413      507.81               199                  397                903     713         97           68          288                3962                 716                  68                 126            288            1146.85               1146.85               0.476   0.0009       24.08         0.067       0.00030                0.105              0.00045                0.067              0.00029          905.19   3148010    13434  83280549  
   NEGATED  bulky                  770      280.21               308                  615                929    1141        137           69          474                3963                1142                  69                 176            474             611.63                611.63               0.470   0.0005       17.65         0.066       0.00016                0.104              0.00024                0.066              0.00016          489.79   3148010     7413  83280549  
   NEGATED  newsworthy             367      134.04               526                 1043                931    1882        213           70          797                3964                1883                  70                 273            797             289.68                289.68               0.469   0.0002       12.16         0.066       0.00008                0.103              0.00012                0.066              0.00007          232.96   3148010     3546  83280549  
   NEGATED  ready                24472     9026.81                13                   25                938      32          9           71           16                3966                  32                  72                  10             16           19064.36              19064.36               0.466   0.0145       98.73         0.065       0.00510                0.102              0.00777                0.065              0.00491        15445.19   3148010   238804  83280549  
   NEGATED  cheery                 227       83.61               745                 1464                941    2546        277           72         1080                3965                2546                  71                 358           1080             176.55                176.55               0.465   0.0001        9.52         0.065       0.00005                0.103              0.00007                0.065              0.00005          143.39   3148010     2212  83280549  
   NEGATED  preachy                189       69.93               854                 1666                948    2832        312           73         1220                3967                2831                  73                 399           1220             145.84                145.84               0.463   0.0001        8.66         0.064       0.00004                0.102              0.00006                0.064              0.00004          119.07   3148010     1850  83280549  
   NEGATED  spry                    93       34.44              1331                 2525                947    4257        480           74         1916                3968                4257                  74                 622           1916              71.67                 71.67               0.464   0.0001        6.07         0.064       0.00002                0.102              0.00003                0.064              0.00002           58.56   3148010      911  83280549  
   NEGATED  snappy                 135       50.20              1073                 2078                954    3479        385           75         1542                3969                3479                  75                 516           1542             103.26                103.26               0.461   0.0001        7.30         0.064       0.00003                0.102              0.00004                0.064              0.00003           84.80   3148010     1328  83280549  
   NEGATED  cause                  101       37.57              1282                 2441                953    4062        460           76         1822                3970                4063                  76                 593           1822              77.19                 77.19               0.461   0.0001        6.31         0.064       0.00002                0.102              0.00003                0.064              0.00002           63.43   3148010      994  83280549  
