         l1  l2                     f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1     f2        N  
       even  indoor                 9     0.36              4884               1118           44        15978                  56               23614              53.21                2.22         0.864         0.000                0.900                0.000   61179     10  1680633  
 previously  unreleased            74     0.04               325                 55           45          905                  68                 934            1060.19                4.11         0.860         0.087                0.860                0.087     851     86  1680633  
       hard  working                6     0.00              2384                 12           46          451                  69                 462             125.48                5.42         0.857         0.182                0.857                0.182      33      7  1680633  
  otherwise  indisposed             6     0.03              4424                282           47        10684                  69               14833              60.58                3.04         0.853         0.001                0.857                0.001    6695      7  1680633  
   slightly  jiggly                 6     0.03              4514                314           48        11175                  69               15572              58.97                2.98         0.853         0.001                0.857                0.001    7658      7  1680633  
       even  eighth                 8     0.33              5379               1208           49        16275                  59               24027              46.81                2.18         0.852         0.000                0.889                0.000   61179      9  1680633  
      still  unbeaten               6     0.06              4949                470           50        12958                  69               18551              52.26                2.73         0.849         0.000                0.857                0.000   13401      7  1680633  
    tightly  wound                 11     0.00              1471                 15           51          392                  81                 403             219.31                5.26         0.846         0.208                0.846                0.208      53     13  1680633  
       very  least                100    11.49               843               1220           52        12387                  42               17556             403.49                2.17         0.843         0.001                0.952                0.001  183918    105  1680633  
       even  keel                   7     0.29              6013               1312           53        16633                  62               24612              40.43                2.12         0.839         0.000                0.875                0.000   61179      8  1680633  
       even  inflatable             7     0.29              6013               1312           53        16633                  62               24612              40.43                2.12         0.839         0.000                0.875                0.000   61179      8  1680633  
  instantly  bookable              31     0.01               721                 47           55         1235                  84                1281             468.52                4.21         0.838         0.058                0.838                0.058     533     37  1680633  
      early  next                 159     0.02               103                 10           56           40                  85                  43            2930.06                5.45         0.837         0.841                0.837                0.841     189    190  1680633  
      outta  bubblegum              5     0.00              2268                  6           57            5                  86                   1             131.85                7.09         0.833         1.000                0.833                1.000       5      6  1680633  
 culturally  appropriative          5     0.00              3615                 56           58         3848                  86                4470              75.95                4.10         0.833         0.010                0.833                0.010     495      6  1680633  
     merely  prelude                5     0.01              4274                134           59         7342                  86                9221              62.61                3.52         0.832         0.003                0.833                0.003    1871      6  1680633  
     deeply  intertwingled          5     0.02              4905                261           60        10295                  86               14141              52.90                3.10         0.830         0.001                0.833                0.001    4939      6  1680633  
       more  demotivating           8     1.36              7751               1769           61        19388                   1               29497              28.35                1.92         0.830         0.000                1.000                0.000  285773      8  1680633  
       more  whining                6     1.02              9114               2104           62        19867                   1               29939              21.26                1.80         0.830         0.000                1.000                0.000  285773      6  1680633  
       more  deaths                 6     1.02              9114               2104           62        19867                   1               29939              21.26                1.80         0.830         0.000                1.000                0.000  285773      6  1680633  
       more  itching                5     0.85             10009               2336           64        20140                   1               30106              17.72                1.73         0.830         0.000                1.000                0.000  285773      5  1680633  
       more  non-tuner              5     0.85             10009               2336           64        20140                   1               30106              17.72                1.73         0.830         0.000                1.000                0.000  285773      5  1680633  
       more  drama                  5     0.85             10009               2336           64        20140                   1               30106              17.72                1.73         0.830         0.000                1.000                0.000  285773      5  1680633  
       more  myth                   5     0.85             10009               2336           64        20140                   1               30106              17.72                1.73         0.830         0.000                1.000                0.000  285773      5  1680633  
       more  price-conscious        5     0.85             10009               2336           64        20140                   1               30106              17.72                1.73         0.830         0.000                1.000                0.000  285773      5  1680633  
        all  atwitter               5     0.02              5024                293           69        10839                  86               15169              51.25                3.02         0.830         0.001                0.833                0.001    5828      6  1680633  
       even  tertiary              45     1.89              1267               1153           70        11395                  66               16043             257.64                2.21         0.829         0.001                0.865                0.001   61179     52  1680633  
       even  life-ending            6     0.25              6847               1456           71        16992                  69               25212              34.09                2.06         0.821         0.000                0.857                0.000   61179      7  1680633  
       even  octagonal              6     0.25              6847               1456           71        16992                  69               25212              34.09                2.06         0.821         0.000                0.857                0.000   61179      7  1680633  
       even  life-long              6     0.25              6847               1456           71        16992                  69               25212              34.09                2.06         0.821         0.000                0.857                0.000   61179      7  1680633  
       much  thereof               60     1.02               754                675           74         7531                  86                9502             446.34                2.53         0.819         0.003                0.833                0.003   23827     72  1680633  
        non  existant               9     0.00              2213                 54           75         2693                 112                2980             135.93                4.11         0.818         0.018                0.818                0.018     499     11  1680633  
       even  lifelong              11     0.47              4331               1395           76        15490                  81               22790              61.88                2.09         0.810         0.000                0.846                0.000   61179     13  1680633  
       just  dandy                 23     0.48              1885                847           77        11086                 109               15503             161.42                2.39         0.804         0.001                0.821                0.001   28522     28  1680633  
       even  nuclear               58     2.51              1046               1297           78        10536                  83               14518             324.65                2.13         0.804         0.001                0.841                0.001   61179     69  1680633  
       near  thereto                8     0.00              2334                 41           79         2147                 116                2330             127.77                4.28         0.800         0.026                0.800                0.026     310     10  1680633  
     freely  assignable             8     0.00              2489                 58           80         2864                 116                3192             120.34                4.07         0.800         0.016                0.800                0.016     491     10  1680633  
