adj,cross_context_sum,not_VP-adv,never_VP-adv,no_subj-det,none_subj-NP,no-one_subj-NP,few_det-of-subj,nothing_subj-NP,nobody_subj-NP,few_subj,without-being_PP,neither_subj-NP,neither_subj-det,not-one_subj-NP,not-a-single_subj-det,not-one_subj-det
forthcoming,293,258,4,18,10,1,1,0,0,0,0,0,1,0,0,0
dead,292,266,9,1,1,0,4,9,0,2,0,0,0,0,0,0
pleasant,289,284,2,0,2,0,0,0,0,0,0,0,1,0,0,0
competitive,283,270,6,3,0,0,2,0,0,0,2,0,0,0,0,0
critical,280,235,6,5,6,3,17,2,1,2,3,0,0,0,0,0
exclusive,278,272,2,0,4,0,0,0,0,0,0,0,0,0,0,0
efficient,276,262,5,2,2,0,2,0,1,1,1,0,0,0,0,0
secure,275,242,13,17,0,0,0,3,0,0,0,0,0,0,0,0
bleak,274,271,1,0,0,0,1,0,0,1,0,0,0,0,0,0
worth,264,241,1,5,1,1,7,4,3,1,0,0,0,0,0,0
committed,264,243,9,1,0,1,2,0,1,3,1,0,3,0,0,0
evident,262,232,20,4,2,0,2,0,0,1,0,1,0,0,0,0
generous,262,243,5,4,2,0,4,0,0,2,0,0,2,0,0,0
feasible,257,252,4,0,1,0,0,0,0,0,0,0,0,0,0,0
cold,257,226,23,4,0,1,1,1,0,0,0,1,0,0,0,0
careful,257,224,31,0,1,1,0,0,0,0,0,0,0,0,0,0
dire,254,251,2,1,0,0,0,0,0,0,0,0,0,0,0,0
encouraging,253,249,1,0,1,0,2,0,0,0,0,0,0,0,0,0
weak,251,234,7,0,3,1,1,0,0,0,4,1,0,0,0,0
focused,250,234,11,0,2,1,0,0,1,1,0,0,0,0,0,0
cool,248,226,11,1,1,0,1,1,6,1,0,0,0,0,0,0
