colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,positive_plus1,negative_plus1,positive_ratio,negative_ratio,positive_skew,negative_skew
particularly_stellar,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_virulent,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_subtle,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_athletic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_revolutionary,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
particularly_motivated,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_mysterious,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_natural,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_neurotic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_objectionable,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_observant,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_opportune,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_retro,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
