colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
quite_optimistic,0,39,39,-0.03348,1.20909,0.38338,0.0,1.0,0.0,1.67505,1,40
relatively_flat,0,39,39,-0.03348,1.20909,0.38338,0.0,1.0,0.0,1.67505,1,40
relatively_light,0,39,39,-0.03348,1.20909,0.38338,0.0,1.0,0.0,1.67505,1,40
too_limited,0,39,39,-0.03348,1.20909,0.38338,0.0,1.0,0.0,1.67505,1,40
very_troubled,0,39,39,-0.03348,1.20909,0.38338,0.0,1.0,0.0,1.67505,1,40
also_proud,0,38,38,-0.03348,1.17482,0.37169,0.0,1.0,0.0,1.67505,1,39
certainly_aware,0,38,38,-0.03348,1.17482,0.37169,0.0,1.0,0.0,1.67505,1,39
extremely_excited,0,38,38,-0.03348,1.17482,0.37169,0.0,1.0,0.0,1.67505,1,39
fairly_high,0,38,38,-0.03348,1.17482,0.37169,0.0,1.0,0.0,1.67505,1,39
increasingly_clear,0,38,38,-0.03348,1.17482,0.37169,0.0,1.0,0.0,1.67505,1,39
nowhere_near,0,38,38,-0.03348,1.17482,0.37169,0.0,1.0,0.0,1.67505,1,39
often_impossible,0,38,38,-0.03348,1.17482,0.37169,0.0,1.0,0.0,1.67505,1,39
perfectly_acceptable,0,38,38,-0.03348,1.17482,0.37169,0.0,1.0,0.0,1.67505,1,39
quite_favorable,0,38,38,-0.03348,1.17482,0.37169,0.0,1.0,0.0,1.67505,1,39
so_distraught,0,38,38,-0.03348,1.17482,0.37169,0.0,1.0,0.0,1.67505,1,39
still_tough,0,38,38,-0.03348,1.17482,0.37169,0.0,1.0,0.0,1.67505,1,39
very_damaging,0,38,38,-0.03348,1.17482,0.37169,0.0,1.0,0.0,1.67505,1,39
generally_pleased,0,37,37,-0.03348,1.14055,0.35999,0.0,1.0,0.0,1.67505,1,38
largely_unchanged,0,37,37,-0.03348,1.14055,0.35999,0.0,1.0,0.0,1.67505,1,38
