    l1  l2                     f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1     f2       N  
NEGMIR  left                   6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  barefoot               6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  fallible               6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  hatred                 6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  anticipated            6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  deaths                 6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  recommendable          6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  unachievable           6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  unrecognized           6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  homegrown              6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  allusive               6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  stricter               6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  odder                  6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  drowsy                 6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  unattached             6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  broken                 6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  suggestible            6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  asymptomatic           6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  yellowish              6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  substandard            6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  unequivocal            6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  sixth                  6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  ascertainable          6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  sole                   6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  far                    6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  nearsighted            6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  distinguished          6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  clingy                 6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  non-compliant          6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  groggy                 6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  breathable             6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  subsequent             6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  bluish                 6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  redeemable             6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  kidding                6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  blond                  6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  good-natured           6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  uproarious             6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  samey                  6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  seventh                6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  future                 6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  reformist              6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  patchy                 6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  saline                 6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  representational       6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  situational            6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  unjustifiable          6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  indescribable          6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
POSMIR  reflexive              6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  israeli                6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
NEGMIR  doctrinaire            6     3.00              1204                165          122         2152                   1                5016               8.32               1.114        0.5000       0.00002               1.0000              0.00002  291735      6  583470  
