adv_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
definitely,1632,61.62,695.23,0,3,8.0,25.0,27032,100556,11.2834637441816,27032,22.0,58.0,-30.0,10.57594887294762,4.601657142621499
easily,1632,61.23,1022.95,0,0,0.0,2.0,38353,99926,16.70682936047419,38353,2.0,5.0,-3.0,2.3958615246379797,1.5301447593960342
certainly,1632,60.81,350.8,0,3,10.0,29.0,8838,99241,5.768883612255014,8838,26.0,68.0,-36.0,12.812818703933278,5.619704338408485
any,1632,58.94,975.99,0,0,0.0,0.0,35498,96182,16.56036161952111,35498,0.0,0.0,0.0,1.5399597141919927,1.1523975355368532
immediately,1632,58.08,968.84,0,0,1.0,6.0,27616,94785,16.68137343688643,27616,6.0,15.0,-9.0,3.412239361870326,1.921429730602273
real,1632,55.67,456.65,0,1,4.0,16.0,16440,90850,8.203055276604323,16440,15.0,38.5,-21.5,6.638946113703705,2.77410641256071
once,1632,55.44,428.93,0,4,12.0,33.0,16333,90471,7.737404477351569,16333,29.0,76.5,-39.5,14.170476415096193,6.2279746303562815
yet,1632,54.64,430.19,0,2,7.0,21.0,10699,89180,7.872536662095656,10699,19.0,49.5,-26.5,9.29626357369828,4.274605918667489
readily,1632,51.85,1637.82,0,0,0.0,0.0,65625,84612,31.59039212241543,65625,0.0,0.0,0.0,1.3609098449637198,1.1470441090582029
otherwise,1632,49.93,155.26,0,4,12.0,38.0,4247,81488,3.1093769622060687,4247,34.0,89.0,-47.0,15.095795194375292,6.297645028843662
environmentally,1632,49.92,1074.0,0,0,0.0,1.0,41730,81475,21.512864748277593,41730,1.0,2.5,-1.5,1.8108042317133735,1.2930384523164966
hugely,1632,47.21,511.93,0,0,2.0,10.0,15341,77040,10.844711178004678,15341,10.0,25.0,-15.0,4.67351112049058,2.279731739496943
clearly,1632,47.16,313.83,0,2,7.0,23.0,11438,76971,6.654081232435385,11438,21.0,54.5,-29.5,9.453751952005687,3.959373547324432
mentally,1632,46.16,979.24,0,0,0.0,2.0,38528,75327,21.21565971386898,38528,2.0,5.0,-3.0,2.034967495778966,1.3976158845873732
virtually,1632,45.16,486.54,0,0,0.0,2.0,17006,73700,10.77392712854895,17006,2.0,5.0,-3.0,2.3760551334841766,1.4545914243532791
exceptionally,1632,45.09,212.96,0,2,6.0,24.0,5047,73594,4.72251316749146,5047,22.0,57.0,-31.0,8.773803961034519,3.512989463835621
unusually,1632,44.35,333.65,0,1,4.0,16.0,10282,72381,7.523014347730288,10282,15.0,38.5,-21.5,6.6484423941677955,2.9202767000735133
about,1632,42.67,481.18,0,1,3.0,10.0,17174,69640,11.276310578356465,17174,9.0,23.5,-12.5,4.985112123716188,2.567845006616894
utterly,1632,42.61,116.47,0,2,7.0,30.0,1770,69534,2.733668317053907,1770,28.0,72.0,-40.0,9.682087876225442,3.5857944236593484
physically,1632,42.02,313.96,0,0,1.0,7.0,9368,68583,7.471076822758094,9368,7.0,17.5,-10.5,3.789138286179264,1.9411453142135278
remarkably,1632,40.81,201.36,0,2,6.0,21.0,5967,66598,4.934371508799014,5967,19.0,49.5,-26.5,8.504664746036603,3.5299688156420066
socially,1632,39.89,406.97,0,0,1.0,5.0,10329,65101,10.202267563836198,10329,5.0,12.5,-7.5,3.1438411241220208,1.7552439820903265
terribly,1632,39.09,209.93,0,2,6.0,22.0,7220,63787,5.3709823316324155,7220,20.0,52.0,-28.0,8.69287309633717,3.6197109622922503
partly,1632,37.24,987.13,0,0,1.0,3.0,39342,60774,26.508005010656277,39342,3.0,7.5,-4.5,2.4825329645171297,1.6741525588581716
genuinely,1632,37.13,181.91,0,1,5.0,19.0,5149,60596,4.89930558706867,5149,18.0,46.0,-26.0,7.6720440256235785,3.302955266839274
seriously,1632,36.81,332.29,0,1,4.0,14.0,12144,60068,9.027936847624346,12144,13.0,33.5,-18.5,6.622239221010063,3.07039967066726
however,1632,36.14,179.9,0,3,8.0,26.0,4266,58983,4.977785373318383,4266,23.0,60.5,-31.5,10.35161157943263,4.600962930506372
reasonably,1632,35.69,183.59,0,0,2.0,12.0,5219,58238,5.14465353093719,5219,12.0,30.0,-18.0,5.23643874117833,2.362919092498292
damn,1632,34.23,438.85,0,0,2.0,8.0,17022,55865,12.820158755702217,17022,8.0,20.0,-12.0,4.184614294364514,2.1699246992503856
exactly,1632,33.92,301.36,0,1,4.0,13.0,9253,55365,8.883117986514689,9253,12.0,31.0,-17.0,5.951299860668006,2.912744444245485
wildly,1632,33.71,417.81,0,0,1.0,8.0,13596,55021,12.392756955055411,13596,8.0,20.0,-12.0,3.6687121415210067,1.9617240347242155
financially,1632,32.65,227.29,0,0,0.0,3.0,3773,53281,6.961999098591199,3773,3.0,7.5,-4.5,2.707271039826099,1.550858122059451
previously,1632,32.61,339.77,0,1,3.0,9.0,11496,53219,10.419153068772966,11496,8.0,21.0,-11.0,4.845867053579933,2.5650725598699746
way,1632,31.95,449.52,0,0,0.0,2.0,12437,52136,14.071153712933391,12437,2.0,5.0,-3.0,2.032706802657231,1.4014022219354836
then,1632,31.89,189.98,0,2,5.0,14.0,6395,52049,5.956683619944957,6395,12.0,32.0,-16.0,7.294580848995407,3.6885165067712333
little,1632,31.48,704.55,0,0,2.0,5.25,28272,51383,22.37741720562527,28272,5.25,13.125,-7.875,3.4397733772482937,2.01477334754744
perhaps,1632,31.23,219.83,0,2,6.0,16.0,7306,50965,7.039492296166865,7306,14.0,37.0,-19.0,7.603923755803776,3.709582575498593
hardly,1632,31.2,255.45,0,1,4.0,13.0,9006,50926,8.186401112840615,9006,12.0,31.0,-17.0,5.9994212194423255,3.0037550817611574
purely,1632,30.9,141.89,0,0,1.0,5.0,2780,50422,4.592642712512505,2780,5.0,12.5,-7.5,3.6076179370044335,1.8788978574323667
historically,1632,30.88,294.42,0,0,2.0,9.0,6459,50398,9.533862730264532,6459,9.0,22.5,-13.5,4.327341833614024,2.3103407405881886
considerably,1632,30.62,305.56,0,0,1.0,2.0,7820,49975,9.978619577218653,7820,2.0,5.0,-3.0,2.4043804325130367,1.5869065728889815
obviously,1632,30.49,96.31,0,2,6.0,20.0,1596,49767,3.1584118772603587,1596,18.0,47.0,-25.0,8.995920789759744,4.159985904109403
sexually,1632,30.43,447.57,0,0,0.0,2.0,12996,49654,14.710545423083094,12996,2.0,5.0,-3.0,2.2839298500659715,1.4813747276820632
directly,1632,30.26,550.55,0,0,0.0,1.0,20288,49385,18.19359071016617,20288,1.0,2.5,-1.5,1.8582145717322314,1.3551417113178614
necessarily,1632,30.09,161.11,0,2,6.0,18.0,3831,49115,5.353387060395472,3831,16.0,42.0,-22.0,8.014388398244098,3.7955428494100705
brand,1632,28.91,1150.67,0,0,0.0,0.0,46484,47174,39.80763458228715,46484,0.0,0.0,0.0,1.0735985772021115,1.0352611464484889
economically,1632,28.72,224.9,0,0,0.0,3.0,6808,46863,7.832174605241165,6808,3.0,7.5,-4.5,2.621825612558683,1.5170330604095996
therefore,1632,28.58,135.68,0,1,4.0,14.0,3676,46650,4.746645331245317,3676,13.0,33.5,-18.5,6.377081311414908,3.116385486192187
barely,1632,28.07,259.42,0,0,0.0,3.0,6634,45815,9.241039258876093,6634,3.0,7.5,-4.5,2.519875943169867,1.5476782893949894
inherently,1632,27.79,134.39,0,1,3.0,14.0,2728,45357,4.835411368501582,2728,13.0,33.5,-18.5,5.660533368699562,2.6211883342168423
extraordinarily,1632,27.17,118.74,0,1,5.0,16.0,2674,44338,4.370494049582051,2674,15.0,38.5,-21.5,6.64000368250704,3.0705708833376626
apparently,1632,27.11,71.81,0,2,7.0,21.0,1299,44245,2.64871768743072,1299,19.0,49.5,-26.5,9.14127624298634,4.333290223952556
consistently,1632,26.97,191.63,0,1,3.0,10.0,5756,44008,7.106405801236157,5756,9.0,23.5,-12.5,5.242498225891872,2.721397941674249
widely,1632,26.67,628.48,0,0,0.0,1.0,24789,43520,23.56795192192775,24789,1.0,2.5,-1.5,1.7120946588811008,1.30334065569853
emotionally,1632,26.63,117.11,0,0,1.0,7.0,1506,43467,4.397155892863727,1506,7.0,17.5,-10.5,3.698412531551079,1.907401927761757
amazingly,1632,26.31,102.81,0,1,3.0,14.0,1892,42935,3.9078765850729367,1892,13.0,33.5,-18.5,5.665707964441324,2.645838757014609
mutually,1632,26.05,511.92,0,0,0.0,1.0,16386,42509,19.65355968724582,16386,1.0,2.5,-1.5,1.688779899681839,1.296921851575612
typically,1632,25.6,77.11,0,3,8.0,20.0,1341,41779,3.012065377331685,1341,17.0,45.5,-22.5,9.673665335164225,4.81200899577188
wonderfully,1632,25.44,67.82,0,1,4.0,19.0,795,41522,2.6654477099421756,795,18.0,46.0,-26.0,6.71826170166015,2.842646608490199
naturally,1632,25.36,104.4,0,1,4.0,15.0,1902,41381,4.1172756908944965,1902,14.0,36.0,-20.0,6.147184039829219,2.910860767889867
visually,1632,25.22,276.86,0,0,1.0,5.0,7965,41164,10.976315757535062,7965,5.0,12.5,-7.5,3.0634109002970793,1.7560073142598884
downright,1632,25.19,88.03,0,0,4.0,15.0,1730,41104,3.4952146458679505,1730,15.0,37.5,-22.5,5.748658396358804,2.5749744136748642
technically,1632,24.91,144.71,0,0,1.0,5.0,2273,40647,5.810208754540856,2273,5.0,12.5,-7.5,3.219603218529149,1.8167790985859833
finally,1632,24.15,386.34,0,0,1.0,2.0,13550,39416,15.996364703982191,13550,2.0,5.0,-3.0,2.302870380633719,1.5489676742231286
immensely,1632,23.83,204.66,0,0,1.0,6.0,6667,38896,8.587121084389322,6667,6.0,15.0,-9.0,3.457917583466008,1.9670801121116201
